bill_ID,value,kategori
1335,1,jarang
1336,3,jarang
1337,1,jarang
1338,3,jarang
1339,2,jarang
1340,3,jarang
1341,1,jarang
1342,2,jarang
1343,2,jarang
1344,1,jarang
1345,6,sering
1346,1,jarang
1347,2,jarang
1348,2,jarang
1349,3,jarang
1350,1,jarang
1351,2,jarang
1352,4,jarang
1353,4,jarang
1354,7,sering
1355,2,jarang
1356,1,jarang
1357,4,jarang
1358,1,jarang
1359,1,jarang
1360,4,jarang
1361,2,jarang
1362,4,jarang
1363,1,jarang
1364,1,jarang
1365,2,jarang
1366,5,jarang
1367,1,jarang
1368,1,jarang
1369,1,jarang
1370,1,jarang
1371,6,sering
1372,4,jarang
1373,2,jarang
1374,3,jarang
1375,2,jarang
1376,1,jarang
1377,1,jarang
1378,4,jarang
1379,1,jarang
1380,2,jarang
1381,3,jarang
1382,1,jarang
1383,1,jarang
1384,1,jarang
1385,2,jarang
1386,4,jarang
1387,1,jarang
1388,1,jarang
1389,1,jarang
1390,2,jarang
1391,1,jarang
1392,4,jarang
1393,1,jarang
1394,1,jarang
1395,2,jarang
1396,5,jarang
1397,1,jarang
1398,2,jarang
1399,1,jarang
1400,3,jarang
1401,1,jarang
1402,5,jarang
1403,1,jarang
1404,1,jarang
1405,1,jarang
1406,1,jarang
1407,1,jarang
1408,1,jarang
1409,1,jarang
1410,1,jarang
1411,2,jarang
1412,2,jarang
1413,2,jarang
1414,2,jarang
1415,4,jarang
1416,2,jarang
1417,1,jarang
1418,1,jarang
1419,1,jarang
1420,1,jarang
1421,2,jarang
1422,1,jarang
1423,1,jarang
1424,1,jarang
1425,2,jarang
1426,1,jarang
1427,1,jarang
1428,5,jarang
1429,2,jarang
1430,3,jarang
1431,4,jarang
1432,4,jarang
1433,1,jarang
1434,3,jarang
1435,1,jarang
1436,7,sering
1437,3,jarang
1438,4,jarang
1439,2,jarang
1440,1,jarang
1441,2,jarang
1442,2,jarang
1443,6,sering
1444,2,jarang
1445,2,jarang
1446,1,jarang
1447,2,jarang
1448,3,jarang
1449,7,sering
1450,2,jarang
1451,4,jarang
1452,1,jarang
1453,1,jarang
1454,3,jarang
1455,2,jarang
1456,7,sering
1457,7,sering
1458,1,jarang
1459,5,jarang
1460,2,jarang
1461,1,jarang
1462,1,jarang
1463,5,jarang
1464,2,jarang
1465,4,jarang
1466,2,jarang
1467,3,jarang
1468,2,jarang
1469,1,jarang
1470,2,jarang
1471,2,jarang
1472,5,jarang
1473,2,jarang
1474,2,jarang
1475,2,jarang
1476,1,jarang
1477,3,jarang
1478,3,jarang
1479,1,jarang
1480,2,jarang
1481,2,jarang
1482,3,jarang
1483,1,jarang
1484,2,jarang
1485,2,jarang
1486,2,jarang
1487,1,jarang
1488,2,jarang
1489,2,jarang
1490,4,jarang
1491,3,jarang
1492,2,jarang
1493,1,jarang
1494,1,jarang
1495,1,jarang
1496,4,jarang
1497,1,jarang
1498,1,jarang
1499,1,jarang
1500,1,jarang
1501,1,jarang
1502,4,jarang
1503,1,jarang
1504,4,jarang
1505,4,jarang
1506,1,jarang
1507,2,jarang
1508,1,jarang
1509,1,jarang
1510,1,jarang
1511,2,jarang
1512,1,jarang
1513,2,jarang
1514,3,jarang
1515,6,sering
1516,2,jarang
1517,1,jarang
1518,8,sering
1519,2,jarang
1520,3,jarang
1521,6,sering
1522,1,jarang
1523,3,jarang
1524,1,jarang
1525,1,jarang
1526,3,jarang
1527,1,jarang
1528,1,jarang
1529,1,jarang
1530,1,jarang
1531,1,jarang
1532,3,jarang
1533,2,jarang
1534,1,jarang
1535,1,jarang
1536,1,jarang
1537,5,jarang
1538,1,jarang
1539,10,sering
1540,1,jarang
1541,3,jarang
1542,1,jarang
1543,1,jarang
1544,1,jarang
1545,1,jarang
1546,2,jarang
1547,1,jarang
1548,1,jarang
1549,1,jarang
1550,2,jarang
1551,2,jarang
1552,1,jarang
1553,3,jarang
1554,2,jarang
1555,2,jarang
1556,3,jarang
1557,1,jarang
1558,2,jarang
1559,2,jarang
1560,2,jarang
1561,1,jarang
1562,2,jarang
1563,1,jarang
1564,1,jarang
1565,3,jarang
1566,1,jarang
1567,1,jarang
1568,4,jarang
1569,1,jarang
1570,1,jarang
1571,2,jarang
1572,1,jarang
1573,1,jarang
1574,1,jarang
1575,1,jarang
1576,2,jarang
1577,1,jarang
1578,1,jarang
1579,2,jarang
1580,1,jarang
1581,2,jarang
1582,1,jarang
1583,1,jarang
1584,2,jarang
1585,10,sering
1586,2,jarang
1587,3,jarang
1588,2,jarang
1589,5,jarang
1590,2,jarang
1591,1,jarang
1592,5,jarang
1593,2,jarang
1594,1,jarang
1595,2,jarang
1596,3,jarang
1597,3,jarang
1598,2,jarang
1599,2,jarang
1600,1,jarang
1601,1,jarang
1602,4,jarang
1603,1,jarang
1604,1,jarang
1605,5,jarang
1606,2,jarang
1607,1,jarang
1608,4,jarang
1609,1,jarang
1610,2,jarang
1611,2,jarang
1612,2,jarang
1613,1,jarang
1614,4,jarang
1615,1,jarang
1616,1,jarang
1617,3,jarang
1618,3,jarang
1619,2,jarang
1620,4,jarang
1621,4,jarang
1622,1,jarang
1623,5,jarang
